class,tipo,metric,value
-1,Grassland,ai,94.65766431741304
0,Forest,ai,95.39196187585863
1,Agriculture,ai,98.12088239549078
2,Urban,ai,91.16257908679121
-1,Grassland,area_mn,1.2430416559555613
0,Forest,area_mn,2.257666680658747
1,Agriculture,area_mn,18.10668692100807
2,Urban,area_mn,1.2058134181559452
-1,Grassland,ca,111216.17999999993
0,Forest,ca,161353.18000000002
1,Agriculture,ca,363546.06000000006
2,Urban,ca,28810.5
-1,Grassland,cai_mn,1.203718015224549
0,Forest,cai_mn,13.794868583201064
1,Agriculture,cai_mn,12.62624181569542
2,Urban,cai_mn,11.55549726889742
-1,Grassland,circle_mn,0.41998482748861204
0,Forest,circle_mn,0.5933794210273241
1,Agriculture,circle_mn,0.5992738511179898
2,Urban,circle_mn,0.6034737635302313
-1,Grassland,clumpy,0.9358462166713383
0,Forest,clumpy,0.9391546891698351
1,Agriculture,clumpy,0.9585415560958026
2,Urban,clumpy,0.9076232072609938
-1,Grassland,cohesion,99.94526428353589
0,Forest,cohesion,98.85140170637587
1,Agriculture,cohesion,99.9772383099066
2,Urban,cohesion,99.64143298312783
-1,Grassland,contig_mn,0.07378472540719161
0,Forest,contig_mn,0.5282109811348559
1,Agriculture,contig_mn,0.520400372403384
2,Urban,contig_mn,0.5138541888186954
-1,Grassland,core_mn,1.0778395234209963
0,Forest,core_mn,2.005071289650058
1,Agriculture,core_mn,17.162718398246838
2,Urban,core_mn,0.9463491399154564
-1,Grassland,cpland,14.503176534312276
0,Forest,cpland,21.55133913263601
1,Agriculture,cpland,51.824278409841504
2,Urban,cpland,3.4005472369012177
-1,Grassland,dcad,1.1108004332272083
0,Forest,dcad,8.887907392751362
1,Agriculture,dcad,2.8478360416450603
2,Urban,dcad,2.7287250284964077
-1,Grassland,dcore_mn,0.08255188832135553
0,Forest,dcore_mn,0.8269039723516489
1,Agriculture,dcore_mn,0.9431218248829565
2,Urban,dcore_mn,0.7593855941070606
-1,Grassland,division,0.988979873684764
0,Forest,division,0.984955745366147
1,Agriculture,division,0.8466937538662853
2,Urban,division,0.9993566243847044
-1,Grassland,ed,35.37899379828659
0,Forest,ed,44.789004465339545
1,Agriculture,ed,40.65344602598738
2,Urban,ed,15.351710157426261
-1,Grassland,frac_mn,1.019927724892867
0,Forest,frac_mn,1.1185847831832492
1,Agriculture,frac_mn,1.1198326140030666
2,Urban,frac_mn,1.1185399061890313
-1,Grassland,gyrate_mn,3.2711671784121608
0,Forest,gyrate_mn,22.516086353070243
1,Agriculture,gyrate_mn,24.54411356608793
2,Urban,gyrate_mn,20.271490442998562
-1,Grassland,iji,98.8740871808906
0,Forest,iji,73.44544242809702
1,Agriculture,iji,69.78536583160067
2,Urban,iji,74.37962743610407
-1,Grassland,lpi,9.83136737999325
0,Forest,lpi,12.119835845773618
1,Agriculture,lpi,38.29698051175386
2,Urban,lpi,2.528006428144657
-1,Grassland,lsi,179.10374812593705
0,Forest,lsi,186.0476723923326
1,Agriculture,lsi,114.28178124222572
2,Urban,lsi,150.90309278350514
-1,Grassland,mesh,7327.567628674485
0,Forest,mesh,10003.314853128908
1,Agriculture,mesh,101937.29675220665
2,Urban,mesh,427.7971229059623
-1,Grassland,ndca,7386
0,Forest,ndca,59098
1,Agriculture,ndca,18936
2,Urban,ndca,18144
-1,Grassland,nlsi,0.05342335682586961
0,Forest,nlsi,0.04608038124141382
1,Agriculture,nlsi,0.022161256611295956
2,Urban,nlsi,0.08837420913208785
-1,Grassland,np,89471
0,Forest,np,71469
1,Agriculture,np,20078
2,Urban,np,23893
-1,Grassland,pafrac,1.3280778997314258
0,Forest,pafrac,1.3723121920962194
1,Agriculture,pafrac,1.3989057686563375
2,Urban,pafrac,1.4216598947657286
-1,Grassland,para_mn,0.36611345334538786
0,Forest,para_mn,0.17015927431097236
1,Agriculture,para_mn,0.17302146686460862
2,Urban,para_mn,0.17524531316666497
-1,Grassland,pd,13.455784668463519
0,Forest,pd,10.748415402425584
1,Agriculture,pd,3.019584497473042
2,Urban,pd,3.5933326226777265
-1,Grassland,pladj,94.62927966056738
0,Forest,pladj,95.36821338135387
1,Agriculture,pladj,98.10460880802833
2,Urban,pladj,91.108866559067
-1,Grassland,pland,16.72610085646833
0,Forest,pland,24.266339323935515
1,Agriculture,pland,54.674671127273854
2,Urban,pland,4.332888692322296
-1,Grassland,shape_mn,1.0783575284607825
0,Forest,shape_mn,1.6119570266151706
1,Agriculture,shape_mn,1.6227909376948466
2,Urban,shape_mn,1.5955624679746756
-1,Grassland,split,90.74306150351862
0,Forest,split,66.4705579862879
1,Agriculture,split,6.522891436059257
2,Urban,split,1554.3019912879665
-1,Grassland,tca,96435.38
0,Forest,tca,143300.44
1,Agriculture,tca,344593.06
2,Urban,tca,22611.12
-1,Grassland,te,23524410
0,Forest,te,29781370
1,Agriculture,te,27031530
2,Urban,te,10207750
