metric,value
ai,96.57791639645748
area_mn,3.2449498562790673
cai_mn,7.921529330949778
circle_mn,0.5194241175749972
cohesion,99.93573665241485
condent,0.2497975305739666
contag,53.763308183570324
contig_mn,0.3273539272571706
core_mn,2.9619688547710945
dcad,15.57526889612004
dcore_mn,0.5054096656597254
division,0.8199859973019008
ed,68.08657722351988
ent,1.5996701420832204
frac_mn,1.075624844667887
gyrate_mn,14.050100812166106
iji,83.62392848994698
joinent,1.849467672657187
lpi,38.29698051175386
lsi,142.0162180391195
mesh,119695.97635691607
msidi,0.9475979118424391
msiei,0.6835474040859121
mutinf,1.3498726115092539
ndca,103564
np,204911
pafrac,1.346571869433771
para_mn,0.2565929171161862
pd,30.817117191039873
pladj,96.59431896798168
pr,4
prd,6.01570773478044e-4
relmutinf,0.8438443501554265
rpr,NA
shape_mn,1.378119542915853
shdi,1.108842529041463
shei,0.7998608088874475
sidi,0.6123288738659263
siei,0.8164384984879017
split,5.555123407133479
ta,664925.9199999999
tca,606939.9999999999
te,45272530
