metric,tipo,max_d,esc
6,NC,0,1
0,LNK,0,1
6643782083.717364,SLC,0,1
1107323476.1037986,MSC,0,1
0.999952206331374,CCP,0,1
0.2413732377966536,LCP,0,1
NA,CPL,0,1
6643623318.31512,ECS,0,1
NA,AWF,0,1
0,IIC,0,1
5,NC,10,1
2,LNK,10,1
6643782483.3974285,SLC,10,1
1328788171.3245583,MSC,10,1
0.9999523266426537,CCP,10,1
0.24137326683796467,LCP,10,1
1,CPL,10,1
6643624117.656144,ECS,10,1
4608902285655.658,AWF,10,1
0.24137323766190327,IIC,10,1
2,NC,100,1
5,LNK,100,1
6643783882.277653,SLC,100,1
3321970428.3113956,MSC,100,1
0.9999527477321843,CCP,100,1
0.24137336848256608,LCP,100,1
1.6,CPL,100,1
6643626915.350084,ECS,100,1
165369604907401.16,AWF,100,1
0.2413732884842045,IIC,100,1
1,NC,1000,1
6,LNK,1000,1
6643940856.622791,SLC,1000,1
6643940856.622791,MSC,1000,1
1,CCP,1000,1
0.24138477446057552,LCP,1000,1
1.6666666666666667,CPL,1000,1
6643940856.622791,ECS,1000,1
1623584591135246.8,AWF,1000,1
0.24137899160726897,IIC,1000,1
1,NC,10000,1
8,LNK,10000,1
6643940856.622791,SLC,10000,1
6643940856.622791,MSC,10000,1
1,CCP,10000,1
0.24138477446057552,LCP,10000,1
1.8571428571428572,CPL,10000,1
6643940856.622791,ECS,10000,1
2057423083967451.8,AWF,10000,1
0.24137899644757485,IIC,10000,1
1,NC,1e+05,1
16,LNK,1e+05,1
6643940856.622791,SLC,1e+05,1
6643940856.622791,MSC,1e+05,1
1,CCP,1e+05,1
0.24138477446057552,LCP,1e+05,1
1.3333333333333333,CPL,1e+05,1
6643940856.622791,ECS,1e+05,1
2106800775695102.5,AWF,1e+05,1
0.2413789964475774,IIC,1e+05,1
6,NC,0,2
0,LNK,0,2
6643782083.717304,SLC,0,2
1107323476.1037884,MSC,0,2
0.9999522063313743,CCP,0,2
0.24137323779664924,LCP,0,2
NA,CPL,0,2
6643623318.315061,ECS,0,2
NA,AWF,0,2
0,IIC,0,2
5,NC,10,2
2,LNK,10,2
6643782483.397368,SLC,10,2
1328788171.324546,MSC,10,2
0.9999523266426539,CCP,10,2
0.2413732668379603,LCP,10,2
1,CPL,10,2
6643624117.656086,ECS,10,2
4608902285656.203,AWF,10,2
0.24137323766189894,IIC,10,2
2,NC,100,2
5,LNK,100,2
6643783882.277593,SLC,100,2
3321970428.311365,MSC,100,2
0.9999527477321848,CCP,100,2
0.24137336848256172,LCP,100,2
1.6,CPL,100,2
6643626915.350024,ECS,100,2
165369604907257.56,AWF,100,2
0.24137328848420014,IIC,100,2
1,NC,1000,2
6,LNK,1000,2
6643940856.62273,SLC,1000,2
6643940856.62273,MSC,1000,2
1,CCP,1000,2
0.24138477446057105,LCP,1000,2
1.6666666666666667,CPL,1000,2
6643940856.62273,ECS,1000,2
1623584591133576,AWF,1000,2
0.24137899160726461,IIC,1000,2
1,NC,10000,2
8,LNK,10000,2
6643940856.62273,SLC,10000,2
6643940856.62273,MSC,10000,2
1,CCP,10000,2
0.24138477446057105,LCP,10000,2
1.8571428571428572,CPL,10000,2
6643940856.62273,ECS,10000,2
2057423083965325.3,AWF,10000,2
0.2413789964475705,IIC,10000,2
1,NC,1e+05,2
16,LNK,1e+05,2
6643940856.62273,SLC,1e+05,2
6643940856.62273,MSC,1e+05,2
1,CCP,1e+05,2
0.24138477446057105,LCP,1e+05,2
1.3333333333333333,CPL,1e+05,2
6643940856.62273,ECS,1e+05,2
2106800775692924,AWF,1e+05,2
0.24137899644757305,IIC,1e+05,2
6,NC,0,3
0,LNK,0,3
6643782083.7173815,SLC,0,3
1107323476.1038013,MSC,0,3
0.9999522063313743,CCP,0,3
0.24137323779665484,LCP,0,3
NA,CPL,0,3
6643623318.315138,ECS,0,3
NA,AWF,0,3
0,IIC,0,3
5,NC,10,3
2,LNK,10,3
6643782483.397446,SLC,10,3
1328788171.3245616,MSC,10,3
0.9999523266426539,CCP,10,3
0.24137326683796592,LCP,10,3
1,CPL,10,3
6643624117.656162,ECS,10,3
4608902285658.766,AWF,10,3
0.24137323766190455,IIC,10,3
2,NC,100,3
5,LNK,100,3
6643783882.27767,SLC,100,3
3321970428.3114038,MSC,100,3
0.9999527477321848,CCP,100,3
0.24137336848256732,LCP,100,3
1.6,CPL,100,3
6643626915.3501005,ECS,100,3
165369604907126.56,AWF,100,3
0.24137328848420575,IIC,100,3
1,NC,1000,3
6,LNK,1000,3
6643940856.6228075,SLC,1000,3
6643940856.6228075,MSC,1000,3
1,CCP,1000,3
0.24138477446057666,LCP,1000,3
1.6666666666666667,CPL,1000,3
6643940856.622808,ECS,1000,3
1623584591132116,AWF,1000,3
0.24137899160727022,IIC,1000,3
1,NC,10000,3
8,LNK,10000,3
6643940856.6228075,SLC,10000,3
6643940856.6228075,MSC,10000,3
1,CCP,10000,3
0.24138477446057666,LCP,10000,3
1.8571428571428572,CPL,10000,3
6643940856.622808,ECS,10000,3
2057423083963469,AWF,10000,3
0.2413789964475761,IIC,10000,3
1,NC,1e+05,3
16,LNK,1e+05,3
6643940856.6228075,SLC,1e+05,3
6643940856.6228075,MSC,1e+05,3
1,CCP,1e+05,3
0.24138477446057666,LCP,1e+05,3
1.3333333333333333,CPL,1e+05,3
6643940856.622808,ECS,1e+05,3
2106800775691022.8,AWF,1e+05,3
0.24137899644757865,IIC,1e+05,3
6,NC,0,4
0,LNK,0,4
6643782083.717398,SLC,0,4
1107323476.1038039,MSC,0,4
0.9999522063313743,CCP,0,4
