metric,tipo,max_d
6,NC,0
0,LNK,0
6643782083.717339,SLC,0
1107323476.103794,MSC,0
0.9999522063313743,CCP,0
0.24137323779665168,LCP,0
NA,CPL,0
6643623318.315095,ECS,0
NA,AWF,0
0,IIC,0
5,NC,10
2,LNK,10
6643782483.397403,SLC,10
1328788171.324553,MSC,10
0.9999523266426539,CCP,10
0.2413732668379628,LCP,10
1,CPL,10
6643624117.65612,ECS,10
4608902285658.936,AWF,10
0.24137323766190144,IIC,10
2,NC,100
5,LNK,100
6643783882.277627,SLC,100
3321970428.3113823,MSC,100
0.9999527477321848,CCP,100
0.24137336848256422,LCP,100
1.6,CPL,100
6643626915.350059,ECS,100
165369604907412.56,AWF,100
0.24137328848420267,IIC,100
1,NC,1000
6,LNK,1000
6643940856.622765,SLC,1000
6643940856.622765,MSC,1000
1,CCP,1000
0.24138477446057355,LCP,1000
1.6666666666666667,CPL,1000
6643940856.622765,ECS,1000
1623584591135221.3,AWF,1000
0.2413789916072671,IIC,1000
1,NC,10000
8,LNK,10000
6643940856.622765,SLC,10000
6643940856.622765,MSC,10000
1,CCP,10000
0.24138477446057355,LCP,10000
1.8571428571428572,CPL,10000
6643940856.622765,ECS,10000
2057423083967414.8,AWF,10000
0.241378996447573,IIC,10000
1,NC,1e+05
16,LNK,1e+05
6643940856.622765,SLC,1e+05
6643940856.622765,MSC,1e+05
1,CCP,1e+05
0.24138477446057355,LCP,1e+05
1.3333333333333333,CPL,1e+05
6643940856.622765,ECS,1e+05
2106800775695064,AWF,1e+05
0.24137899644757554,IIC,1e+05
