metric,tipo,max_d
6,NC,0
0,LNK,0
6649100300,SLC,0
1108209866.6666667,MSC,0
0.999952206331374,CCP,0
0.24137323779672176,LCP,0
NA,CPL,0
6648941407.509189,ECS,0
NA,AWF,0
0,IIC,0
5,NC,10
1,LNK,10
6649100700,SLC,10
1329851840,MSC,10
0.9999523266426539,CCP,10
0.2413732668380329,LCP,10
NA,CPL,10
6648942207.49007,ECS,10
4614741082249.829,AWF,10
0,IIC,10
2,NC,100
5,LNK,100
6649102100,SLC,100
3324629600,MSC,100
0.9999527477321846,CCP,100
0.24137336848263427,LCP,100
1.6,CPL,100
6648945007.423507,ECS,100
165477423863590.2,AWF,100
0.24137328848427267,IIC,100
1,NC,1000
6,LNK,1000
6649259200,SLC,1000
6649259200,MSC,1000
1,CCP,1000
0.24138477446064371,LCP,1000
1.6666666666666667,CPL,1000
6649259199.999999,ECS,1000
1626013951829924.3,AWF,1000
0.24137899160733717,IIC,1000
1,NC,10000
8,LNK,10000
6649259200,SLC,10000
6649259200,MSC,10000
1,CCP,10000
0.24138477446064371,LCP,10000
1.8571428571428572,CPL,10000
6649259199.999999,ECS,10000
2060696528319031.8,AWF,10000
0.24137899644764305,IIC,10000
1,NC,1e+05
16,LNK,1e+05
6649259200,SLC,1e+05
6649259200,MSC,1e+05
1,CCP,1e+05
0.24138477446064371,LCP,1e+05
1.3333333333333333,CPL,1e+05
6649259199.999999,ECS,1e+05
2110172804987257.3,AWF,1e+05
0.2413789964476456,IIC,1e+05
