metric,value
ai,95.92444676901084
area_mn,3.731576696653553
cai_mn,17.81320049135362
circle_mn,0.5051115745807054
cohesion,99.90212489738424
condent,0.30022844268779925
contag,61.73354442855612
contig_mn,0.6347495179746917
core_mn,3.2188593010791915
dcad,29.383423645148337
dcore_mn,1.0964649894213447
division,0.8192732332018039
ed,81.22125845237021
ent,1.8483220052760332
frac_mn,1.0415951789618294
gyrate_mn,27.33983345312126
iji,78.767693111071
joinent,2.1485504479638324
lpi,38.49146232711159
lsi,168.79158746704277
mesh,120169.91168191594
msidi,0.9904052043559756
msiei,0.50896759279291
mutinf,1.548093562588234
ndca,195378
np,178189
pafrac,1.4538822622107452
para_mn,0.11953857638725128
pd,26.79832363881981
pladj,95.93732550848031
pr,7
prd,0.00105274885358657
relmutinf,0.8375670246684304
rpr,NA
shape_mn,1.267464370483331
shdi,1.2811941752632463
shei,0.6584035629215622
sidi,0.6285738429711609
siei,0.733336150133021
split,5.533214684887403
ta,664925.9199999996
tca,573565.3199999998
te,54006120
