layer,level,class,id,metric,value,dependencia_terreno
1,class,-1,NA,ai,93.9355024512328,0.7
1,class,0,NA,ai,94.45435616135363,0.7
1,class,1,NA,ai,97.79748321093125,0.7
1,class,2,NA,ai,89.3158270826514,0.7
1,class,-1,NA,area_mn,1.236848496980616,0.7
1,class,0,NA,area_mn,3.5175422380153036,0.7
1,class,1,NA,area_mn,29.537378940526484,0.7
1,class,2,NA,area_mn,1.8816863692769905,0.7
1,class,-1,NA,ca,111216.17999999992,0.7
1,class,0,NA,ca,161353.18,0.7
1,class,1,NA,ca,363546.06,0.7
1,class,2,NA,ca,28810.5,0.7
1,class,-1,NA,cai_mn,1.3362785182285903,0.7
1,class,0,NA,cai_mn,9.756138389088115,0.7
1,class,1,NA,cai_mn,6.675487003276927,0.7
1,class,2,NA,cai_mn,5.763396798524316,0.7
1,class,-1,NA,circle_mn,0.4356643198112076,0.7
1,class,0,NA,circle_mn,0.729592029021623,0.7
1,class,1,NA,circle_mn,0.7646988847681121,0.7
1,class,2,NA,circle_mn,0.7648521253917882,0.7
1,class,-1,NA,clumpy,0.927174089226753,0.7
1,class,0,NA,clumpy,0.9267743855355581,0.7
1,class,1,NA,clumpy,0.9514064907228046,0.7
1,class,2,NA,clumpy,0.888319269064298,0.7
1,class,-1,NA,cohesion,99.96013089587365,0.7
1,class,0,NA,cohesion,99.08348268489192,0.7
1,class,1,NA,cohesion,99.9791330523537,0.7
1,class,2,NA,cohesion,99.66166213590147,0.7
1,class,-1,NA,contig_mn,0.07613493886523115,0.7
1,class,0,NA,contig_mn,0.43122816150010396,0.7
1,class,1,NA,contig_mn,0.3886114240667689,0.7
1,class,2,NA,contig_mn,0.3837070288325331,0.7
1,class,-1,NA,core_mn,1.0710176937021092,0.7
1,class,0,NA,core_mn,3.0905905692049442,0.7
1,class,1,NA,core_mn,27.95795336366591,0.7
1,class,2,NA,core_mn,1.4710365096989093,0.7
1,class,-1,NA,cpland,14.483544272119818,0.7
1,class,0,NA,cpland,21.320943542101656,0.7
1,class,1,NA,cpland,51.7511018370287,0.7
1,class,2,NA,cpland,3.387300648469232,0.7
1,class,-1,NA,dcad,2.2880744369237407,0.7
1,class,0,NA,dcad,7.804779215104143,0.7
1,class,1,NA,dcad,2.8370077677224557,0.7
1,class,2,NA,dcad,2.0645908945766474,0.7
1,class,-1,NA,dcore_mn,0.16919672149378884,0.7
1,class,0,NA,dcore_mn,1.1313466024285497,0.7
1,class,1,NA,dcore_mn,1.5326616834579134,0.7
1,class,2,NA,dcore_mn,0.8966102801907125,0.7
1,class,-1,NA,division,0.9827794008756277,0.7
1,class,0,NA,division,0.9831644855087558,0.7
1,class,1,NA,division,0.8372034005327591,0.7
1,class,2,NA,division,0.9993170171035931,0.7
1,class,-1,NA,ed,40.317619141693264,0.7
1,class,0,NA,ed,53.72536838389456,0.7
1,class,1,NA,ed,47.731828532116786,0.7
1,class,2,NA,ed,18.597455187188373,0.7
1,class,-1,NA,frac_mn,1.0296678044223222,0.7
1,class,0,NA,frac_mn,1.2096221812655028,0.7
1,class,1,NA,frac_mn,1.2305663704977767,0.7
1,class,2,NA,frac_mn,1.2294490870376804,0.7
1,class,-1,NA,gyrate_mn,3.89440265082449,0.7
1,class,0,NA,gyrate_mn,31.26907131715573,0.7
1,class,1,NA,gyrate_mn,35.70895760677445,0.7
1,class,2,NA,gyrate_mn,28.944122690797222,0.7
1,class,-1,NA,iji,98.64619753177529,0.7
1,class,0,NA,iji,74.90607763408337,0.7
1,class,1,NA,iji,68.12095274334185,0.7
1,class,2,NA,iji,77.58180185876081,0.7
1,class,-1,NA,lpi,12.816426226849453,0.7
1,class,0,NA,lpi,12.820518412036035,0.7
1,class,1,NA,lpi,38.49146232711157,0.7
1,class,2,NA,lpi,2.5925504603580505,0.7
1,class,-1,NA,lsi,203.1793103448276,0.7
1,class,0,NA,lsi,223.69965148120488,0.7
1,class,1,NA,lsi,133.77775934986317,0.7
1,class,2,NA,lsi,182.2282768777614,0.7
1,class,-1,NA,mesh,11450.422715724484,0.7
1,class,0,NA,mesh,11194.369961763863,0.7
1,class,1,NA,mesh,108247.6786736267,0.7
1,class,2,NA,mesh,454.13303073761966,0.7
1,class,-1,NA,ndca,15214,0.7
1,class,0,NA,ndca,51896,0.7
1,class,1,NA,ndca,18864,0.7
1,class,2,NA,ndca,13728,0.7
1,class,-1,NA,nlsi,0.06064497548767197,0.7
1,class,0,NA,nlsi,0.055456438386463684,0.7
1,class,1,NA,nlsi,0.025876551920087965,0.7
1,class,2,NA,nlsi,0.10684172917348606,0.7
1,class,-1,NA,np,89919,0.7
1,class,0,NA,np,45871,0.7
1,class,1,NA,np,12308,0.7
1,class,2,NA,np,15311,0.7
1,class,-1,NA,pafrac,1.4257705907551552,0.7
1,class,0,NA,pafrac,1.488647160015032,0.7
1,class,1,NA,pafrac,1.5168068444472877,0.7
1,class,2,NA,pafrac,1.5602035609164837,0.7
1,class,-1,NA,para_mn,0.36757624860336546,0.7
1,class,0,NA,para_mn,0.22457433154103906,0.7
1,class,1,NA,para_mn,0.24448452707669244,0.7
1,class,2,NA,para_mn,0.2461474067436513,0.7
1,class,-1,NA,pd,13.523160595093062,0.7
1,class,0,NA,pd,6.89866323755284,0.7
1,class,1,NA,pd,1.8510332699919414,0.7
1,class,2,NA,pd,2.302662528180583,0.7
1,class,-1,NA,pladj,93.90733434649526,0.7
1,class,0,NA,pladj,94.43084109033364,0.7
1,class,1,NA,pladj,97.78126326001167,0.7
1,class,2,NA,pladj,89.26320265181097,0.7
1,class,-1,NA,pland,16.72610085646833,0.7
1,class,0,NA,pland,24.266339323935515,0.7
1,class,1,NA,pland,54.674671127273854,0.7
1,class,2,NA,pland,4.332888692322298,0.7
1,class,-1,NA,shape_mn,1.1247948863020856,0.7
1,class,0,NA,shape_mn,2.366721230617546,0.7
1,class,1,NA,shape_mn,2.547813151349316,0.7
1,class,2,NA,shape_mn,2.490812605179243,0.7
1,class,-1,NA,split,58.069988899787994,0.7
1,class,0,NA,split,59.39824414157825,0.7
1,class,1,NA,split,6.142634448585192,0.7
1,class,2,NA,split,1464.1655087717418,0.7
1,class,-1,NA,tca,96304.84,0.7
1,class,0,NA,tca,141768.48,0.7
1,class,1,NA,tca,344106.49,0.7
1,class,2,NA,tca,22523.04,0.7
1,class,-1,NA,te,26808230,0.7
1,class,0,NA,te,35723390,0.7
1,class,1,NA,te,31738130,0.7
1,class,2,NA,te,12365930,0.7
