layer,level,class,id,metric,value,dependencia_terreno
1,class,-1,NA,ai,94.20971745367518,1
1,class,0,NA,ai,92.51569355751282,1
1,class,1,NA,ai,96.61462395920786,1
1,class,2,NA,ai,84.33151203265318,1
1,class,-1,NA,area_mn,10.602114394661584,1
1,class,0,NA,area_mn,3.5175422380153036,1
1,class,1,NA,area_mn,29.537378940526484,1
1,class,2,NA,area_mn,1.8816863692769905,1
1,class,-1,NA,ca,111216.18000000001,1
1,class,0,NA,ca,161353.18000000005,1
1,class,1,NA,ca,363546.06,1
1,class,2,NA,ca,28810.5,1
1,class,-1,NA,cai_mn,12.502358121698384,1
1,class,0,NA,cai_mn,9.083597642123774,1
1,class,1,NA,cai_mn,2.521947259250687,1
1,class,2,NA,cai_mn,2.0624996286502686,1
1,class,-1,NA,circle_mn,0.5876567212225223,1
1,class,0,NA,circle_mn,0.8324052397148499,1
1,class,1,NA,circle_mn,0.8993544795753389,1
1,class,2,NA,circle_mn,0.8930956866493589,1
1,class,-1,NA,clumpy,0.9304670178065683,1
1,class,0,NA,clumpy,0.9011759582769965,1
1,class,1,NA,clumpy,0.9253093992919876,1
1,class,2,NA,clumpy,0.8362186570371614,1
1,class,-1,NA,cohesion,99.9672595542603,1
1,class,0,NA,cohesion,99.45010931395613,1
1,class,1,NA,cohesion,99.97687131280834,1
1,class,2,NA,cohesion,99.63654992156931,1
1,class,-1,NA,contig_mn,0.39429974006727214,1
1,class,0,NA,contig_mn,0.3674948709191659,1
1,class,1,NA,contig_mn,0.2581170613179457,1
1,class,2,NA,contig_mn,0.2599769865697849,1
1,class,-1,NA,core_mn,9.052738798856053,1
1,class,0,NA,core_mn,2.958897342547579,1
1,class,1,NA,core_mn,26.945287617809555,1
1,class,2,NA,core_mn,1.3255580954869048,1
1,class,-1,NA,cpland,14.281775930768347,1
1,class,0,NA,cpland,20.412436320725774,1
1,class,1,NA,cpland,49.876623850067396,1
1,class,2,NA,cpland,3.052312955404115,1
1,class,-1,NA,dcad,4.243329843420753,1
1,class,0,NA,dcad,7.235542870700544,1
1,class,1,NA,dcad,7.041987474333984,1
1,class,2,NA,dcad,2.3219127929318804,1
1,class,-1,NA,dcore_mn,2.689704480457579,1
1,class,0,NA,dcore_mn,1.0488325957576683,1
1,class,1,NA,dcore_mn,3.804354891127722,1
1,class,2,NA,dcore_mn,1.0083600026125008,1
1,class,-1,NA,division,0.9820515947095467,1
1,class,0,NA,division,0.9831644855087558,1
1,class,1,NA,division,0.8372034005327591,1
1,class,2,NA,division,0.9993170171035931,1
1,class,-1,NA,ed,38.513042174683164,1
1,class,0,NA,ed,72.44831123443045,1
1,class,1,NA,ed,73.65803998135613,1
1,class,2,NA,ed,27.23001082586764,1
1,class,-1,NA,frac_mn,1.0885768717182924,1
1,class,0,NA,frac_mn,1.2372594987366359,1
1,class,1,NA,frac_mn,1.2985727520177093,1
1,class,2,NA,frac_mn,1.292913406343638,1
1,class,-1,NA,gyrate_mn,30.57549262895588,1
1,class,0,NA,gyrate_mn,63.85125274905126,1
1,class,1,NA,gyrate_mn,79.96617757568498,1
1,class,2,NA,gyrate_mn,61.03218357704249,1
1,class,-1,NA,iji,99.53802415868665,1
1,class,0,NA,iji,64.21094390957695,1
1,class,1,NA,iji,67.04418636517806,1
1,class,2,NA,iji,91.60196742072725,1
1,class,-1,NA,lpi,13.106780376376367,1
1,class,0,NA,lpi,12.820518412036035,1
1,class,1,NA,lpi,38.49146232711157,1
1,class,2,NA,lpi,2.5925504603580505,1
1,class,-1,NA,lsi,194.0374812593703,1
1,class,0,NA,lsi,301.55165546427685,1
1,class,1,NA,lsi,205.0859109378887,1
1,class,2,NA,lsi,266.7737849779087,1
1,class,-1,NA,mesh,11934.359900287542,1
1,class,0,NA,mesh,11194.369961763863,1
1,class,1,NA,mesh,108247.6786736267,1
1,class,2,NA,mesh,454.13303073761966,1
1,class,-1,NA,ndca,28215,1
1,class,0,NA,ndca,48111,1
1,class,1,NA,ndca,46824,1
1,class,2,NA,ndca,15439,1
1,class,-1,NA,nlsi,0.057902825463248236,1
1,class,0,NA,nlsi,0.07484306442487187,1
1,class,1,NA,nlsi,0.03922837040266035,1
1,class,2,NA,nlsi,0.15668487967346825,1
1,class,-1,NA,np,10490,1
1,class,0,NA,np,45871,1
1,class,1,NA,np,12308,1
1,class,2,NA,np,15311,1
1,class,-1,NA,pafrac,1.4452780591554333,1
1,class,0,NA,pafrac,1.6120387317959854,1
1,class,1,NA,pafrac,1.7096464728909684,1
1,class,2,NA,pafrac,1.739758532751341,1
1,class,-1,NA,para_mn,0.22570561179598778,1
1,class,0,NA,para_mn,0.2535755570222701,1
1,class,1,NA,para_mn,0.31212165405371245,1
1,class,2,NA,para_mn,0.30976066867230667,1
1,class,-1,NA,pd,1.5776193534461704,1
1,class,0,NA,pd,6.89866323755284,1
1,class,1,NA,pd,1.8510332699919414,1
1,class,2,NA,pd,2.302662528180583,1
1,class,-1,NA,pladj,94.18146712106098,1
1,class,0,NA,pladj,92.49266113007502,1
1,class,1,NA,pladj,96.59860018837779,1
1,class,2,NA,pladj,84.28182433487791,1
1,class,-1,NA,pland,16.726100856468342,1
1,class,0,NA,pland,24.266339323935522,1
1,class,1,NA,pland,54.67467112727385,1
1,class,2,NA,pland,4.332888692322296,1
1,class,-1,NA,shape_mn,1.5876003383577943,1
1,class,0,NA,shape_mn,2.7251288009164494,1
1,class,1,NA,shape_mn,3.489612855826792,1
1,class,2,NA,shape_mn,3.281953318926961,1
1,class,-1,NA,split,55.71525624796848,1
1,class,0,NA,split,59.398244141578246,1
1,class,1,NA,split,6.142634448585192,1
1,class,2,NA,split,1464.1655087717418,1
1,class,-1,NA,tca,94963.23,1
1,class,0,NA,tca,135727.58,1
1,class,1,NA,tca,331642.60000000003,1
1,class,2,NA,tca,20295.62,1
1,class,-1,NA,te,25608320,1
1,class,0,NA,te,48172760,1
1,class,1,NA,te,48977140,1
1,class,2,NA,te,18105940,1
