layer,level,class,id,metric,value,dependencia_terreno
1,landscape,NA,NA,ai,95.81108189855456,0.2
1,landscape,NA,NA,area_mn,3.1384267414309037,0.2
1,landscape,NA,NA,cai_mn,3.0401244037098367,0.2
1,landscape,NA,NA,circle_mn,0.5193582005537126,0.2
1,landscape,NA,NA,cohesion,99.94942417525341,0.2
1,landscape,NA,NA,condent,0.2920087752556484,0.2
1,landscape,NA,NA,contag,52.70671838183634,0.2
1,landscape,NA,NA,contig_mn,0.18800717888824162,0.2
1,landscape,NA,NA,core_mn,2.854168153455487,0.2
1,landscape,NA,NA,dcad,15.856352840027654,0.2
1,landscape,NA,NA,dcore_mn,0.4976400177470665,0.2
1,landscape,NA,NA,division,0.7951298822013075,0.2
1,landscape,NA,NA,ed,83.41920254815756,0.2
1,landscape,NA,NA,ent,1.5997224894708988,0.2
1,landscape,NA,NA,frac_mn,1.092067689398529,0.2
1,landscape,NA,NA,gyrate_mn,11.435546434714329,0.2
1,landscape,NA,NA,iji,81.84106876016367,0.2
1,landscape,NA,NA,joinent,1.8917312647265472,0.2
1,landscape,NA,NA,lpi,38.49146232711157,0.2
1,landscape,NA,NA,lsi,173.27215034643447,0.2
1,landscape,NA,NA,mesh,136223.45155780393,0.2
1,landscape,NA,NA,msidi,0.947597911842439,0.2
1,landscape,NA,NA,msiei,0.683547404085912,0.2
1,landscape,NA,NA,mutinf,1.3077137142152504,0.2
1,landscape,NA,NA,ndca,105433,0.2
1,landscape,NA,NA,np,211866,0.2
1,landscape,NA,NA,pafrac,1.5630898616654472,0.2
1,landscape,NA,NA,para_mn,0.32311990123214784,0.2
1,landscape,NA,NA,pd,31.86309837342482,0.2
1,landscape,NA,NA,pladj,95.82738489628562,0.2
1,landscape,NA,NA,pr,4,0.2
1,landscape,NA,NA,prd,6.01570773478044e-4,0.2
1,landscape,NA,NA,relmutinf,0.8174628554779967,0.2
1,landscape,NA,NA,rpr,NA,0.2
1,landscape,NA,NA,shape_mn,1.5547685616175608,0.2
1,landscape,NA,NA,shdi,1.1088425290414632,0.2
1,landscape,NA,NA,shei,0.7998608088874477,0.2
1,landscape,NA,NA,sidi,0.6123288738659263,0.2
1,landscape,NA,NA,siei,0.8164384984879017,0.2
1,landscape,NA,NA,split,4.881141333567303,0.2
1,landscape,NA,NA,ta,664925.9199999999,0.2
1,landscape,NA,NA,tca,604701.19,0.2
1,landscape,NA,NA,te,55467590,0.2
