layer,level,class,id,metric,value,dependencia_terreno
1,landscape,NA,NA,ai,94.68550294393044,1
1,landscape,NA,NA,area_mn,7.917669921409859,1
1,landscape,NA,NA,cai_mn,7.26890334388661,1
1,landscape,NA,NA,circle_mn,0.8227104399795874,1
1,landscape,NA,NA,cohesion,99.94491267693743,1
1,landscape,NA,NA,condent,0.35264158996701256,1
1,landscape,NA,NA,contag,51.19152959997706,1
1,landscape,NA,NA,contig_mn,0.3352104540284591,1
1,landscape,NA,NA,core_mn,6.937711717075495,1
1,landscape,NA,NA,dcad,20.84277298138716,1
1,landscape,NA,NA,dcore_mn,1.6502619671350323,1
1,landscape,NA,NA,division,0.8017364978546546,1
1,landscape,NA,NA,ed,105.92470210816869,1
1,landscape,NA,NA,ent,1.599697226033905,1
1,landscape,NA,NA,frac_mn,1.2378201053493036,1
1,landscape,NA,NA,gyrate_mn,61.54257214669095,1
1,landscape,NA,NA,iji,80.38095928768769,1
1,landscape,NA,NA,joinent,1.9523388160009176,1
1,landscape,NA,NA,lpi,38.49146232711157,1
1,landscape,NA,NA,lsi,219.15016248697037,1
1,landscape,NA,NA,mesh,131830.54156641575,1
1,landscape,NA,NA,msidi,0.9475979118424392,1
1,landscape,NA,NA,msiei,0.6835474040859122,1
1,landscape,NA,NA,mutinf,1.2470556360668925,1
1,landscape,NA,NA,ndca,138589,1
1,landscape,NA,NA,np,83980,1
1,landscape,NA,NA,pafrac,1.7005094630682485,1
1,landscape,NA,NA,para_mn,0.2689182562520034,1
1,landscape,NA,NA,pd,12.629978389171534,1
1,landscape,NA,NA,pladj,94.70166545505087,1
1,landscape,NA,NA,pr,4,1
1,landscape,NA,NA,prd,6.01570773478044e-4,1
1,landscape,NA,NA,relmutinf,0.7795572910748184,1
1,landscape,NA,NA,rpr,NA,1
1,landscape,NA,NA,shape_mn,2.7965998222412307,1
1,landscape,NA,NA,shdi,1.1088425290414632,1
1,landscape,NA,NA,shei,0.7998608088874477,1
1,landscape,NA,NA,sidi,0.6123288738659263,1
1,landscape,NA,NA,siei,0.8164384984879017,1
1,landscape,NA,NA,split,5.043792675804284,1
1,landscape,NA,NA,ta,664925.9199999999,1
1,landscape,NA,NA,tca,582629.03,1
1,landscape,NA,NA,te,70432080,1
