metric,value,dependencia_terreno,tipo
ai,93.0357142375311,0.1,Grassland
ai,93.94458016746448,0.1,Forest
ai,97.70664333993932,0.1,Agriculture
ai,89.6617034558985,0.1,Urban
area_mn,0.7380804735769796,0.1,Grassland
area_mn,3.5175422380153036,0.1,Forest
area_mn,29.537378940526484,0.1,Agriculture
area_mn,1.8816863692769903,0.1,Urban
ca,111216.17999999986,0.1,Grassland
ca,161353.18000000005,0.1,Forest
ca,363546.06,0.1,Agriculture
ca,28810.5,0.1,Urban
cai_mn,0.24182976138851184,0.1,Grassland
cai_mn,7.909000951378174,0.1,Forest
cai_mn,7.637295231608821,0.1,Agriculture
cai_mn,6.8147651624972125,0.1,Urban
circle_mn,0.4365887995246509,0.1,Grassland
circle_mn,0.6751143799960334,0.1,Forest
circle_mn,0.6748190039908587,0.1,Agriculture
circle_mn,0.6786460195174864,0.1,Urban
clumpy,0.9163689243076608,0.1,Grassland
clumpy,0.9200432175273244,0.1,Forest
clumpy,0.9494023161640937,0.1,Agriculture
clumpy,0.8919346847334795,0.1,Urban
cohesion,99.95435461676354,0.1,Grassland
cohesion,99.16038671729642,0.1,Forest
cohesion,99.98008312544538,0.1,Agriculture
cohesion,99.66535647442949,0.1,Urban
contig_mn,0.05680705481346599,0.1,Grassland
contig_mn,0.427942827885764,0.1,Forest
contig_mn,0.4255123954037456,0.1,Agriculture
contig_mn,0.4203016120051015,0.1,Urban
core_mn,0.6350989826324137,0.1,Grassland
core_mn,3.0681395653026966,0.1,Forest
core_mn,27.984548261293465,0.1,Agriculture
core_mn,1.4817000849062765,0.1,Urban
cpland,14.392373213545358,0.1,Grassland
cpland,21.166061626835067,0.1,Forest
cpland,51.80032987734936,0.1,Agriculture
cpland,3.4118552635156716,0.1,Urban
dcad,1.3225533454914802,0.1,Grassland
dcad,9.499704869378537,0.1,Forest
dcad,3.176744862044182,0.1,Agriculture
dcad,2.3936501076691377,0.1,Urban
dcore_mn,0.05836092989919236,0.1,Grassland
dcore_mn,1.377035599834318,0.1,Forest
