clase_nro,sum,clase,prod,esc
-1,79060.3828125,Forest,n_total_export,1
0,96460.6875,Agriculture,n_total_export,1
1,810008.9375,Urban,n_total_export,1
2,34305.44921875,Grassland,n_total_export,1
-1,68100.8671875,Forest,n_total_export,3
0,95090.109375,Agriculture,n_total_export,3
1,887108.8125,Urban,n_total_export,3
2,31286.77734375,Grassland,n_total_export,3
-1,83582.3515625,Forest,n_total_export,7
0,94779.84375,Agriculture,n_total_export,7
1,784614.25,Urban,n_total_export,7
2,28260.095703125,Grassland,n_total_export,7
-1,82573.046875,Forest,n_total_export,10
0,97870.2265625,Agriculture,n_total_export,10
1,690151.5625,Urban,n_total_export,10
2,31330.08984375,Grassland,n_total_export,10
