value,sum,tipo,col,prod,esc
-1,1005960.3125,Grassland,#96D458,ndr_n,1
0,1094015.5,Forest,#69A7A7,ndr_n,1
1,5703251.5,Agriculture,#C199E9,ndr_n,1
2,729680.8125,Urban,#E65757,ndr_n,1
-1,1456482.625,Grassland,#96D458,ndr_n,2
0,1898320.25,Forest,#69A7A7,ndr_n,2
1,3962556.5,Agriculture,#C199E9,ndr_n,2
2,528406.75,Urban,#E65757,ndr_n,2
-1,893575.75,Grassland,#96D458,ndr_n,3
0,978221.3125,Forest,#69A7A7,ndr_n,3
1,6501800.5,Agriculture,#C199E9,ndr_n,3
2,692590.1875,Urban,#E65757,ndr_n,3
-1,850332.4375,Grassland,#96D458,ndr_n,4
0,1180676.375,Forest,#69A7A7,ndr_n,4
1,6036944,Agriculture,#C199E9,ndr_n,4
2,439624.75,Urban,#E65757,ndr_n,4
-1,907755.5625,Grassland,#96D458,ndr_n,5
0,978224.9375,Forest,#69A7A7,ndr_n,5
1,6514282,Agriculture,#C199E9,ndr_n,5
2,513185.3125,Urban,#E65757,ndr_n,5
-1,1027518.9375,Grassland,#96D458,ndr_n,6
0,992960.8125,Forest,#69A7A7,ndr_n,6
1,6039143,Agriculture,#C199E9,ndr_n,6
2,510536.4375,Urban,#E65757,ndr_n,6
-1,1085439,Grassland,#96D458,ndr_n,7
0,965109.5625,Forest,#69A7A7,ndr_n,7
1,5758278.5,Agriculture,#C199E9,ndr_n,7
2,654314.25,Urban,#E65757,ndr_n,7
-1,779227.6875,Grassland,#96D458,ndr_n,8
0,1057574.75,Forest,#69A7A7,ndr_n,8
1,6508179,Agriculture,#C199E9,ndr_n,8
2,457222.15625,Urban,#E65757,ndr_n,8
-1,796417.6875,Grassland,#96D458,ndr_n,9
0,1027526.625,Forest,#69A7A7,ndr_n,9
1,6373876.5,Agriculture,#C199E9,ndr_n,9
2,422994.71875,Urban,#E65757,ndr_n,9
-1,1072502.5,Grassland,#96D458,ndr_n,10
0,985113.875,Forest,#69A7A7,ndr_n,10
1,5123048,Agriculture,#C199E9,ndr_n,10
2,665101.875,Urban,#E65757,ndr_n,10
