value,sum,tipo,col,prod,esc
-1,1006296.125,Grassland,#96D458,ndr_p,1
0,1094241.5,Forest,#69A7A7,ndr_p,1
1,5703495,Agriculture,#C199E9,ndr_p,1
2,746579.1875,Urban,#E65757,ndr_p,1
-1,1459981.125,Grassland,#96D458,ndr_p,2
0,1902187.125,Forest,#69A7A7,ndr_p,2
1,3963614.5,Agriculture,#C199E9,ndr_p,2
2,534577.25,Urban,#E65757,ndr_p,2
-1,893867.4375,Grassland,#96D458,ndr_p,3
0,978438.5625,Forest,#69A7A7,ndr_p,3
1,6502015.5,Agriculture,#C199E9,ndr_p,3
2,708682.1875,Urban,#E65757,ndr_p,3
-1,850604,Grassland,#96D458,ndr_p,4
0,1180804.875,Forest,#69A7A7,ndr_p,4
1,6037090.5,Agriculture,#C199E9,ndr_p,4
2,449104.09375,Urban,#E65757,ndr_p,4
-1,908041.875,Grassland,#96D458,ndr_p,5
0,978373.3125,Forest,#69A7A7,ndr_p,5
1,6514475.5,Agriculture,#C199E9,ndr_p,5
2,524205.46875,Urban,#E65757,ndr_p,5
-1,1027825,Grassland,#96D458,ndr_p,6
0,993116.0625,Forest,#69A7A7,ndr_p,6
1,6039314.5,Agriculture,#C199E9,ndr_p,6
2,521652.9375,Urban,#E65757,ndr_p,6
-1,1085789.625,Grassland,#96D458,ndr_p,7
0,965338.1875,Forest,#69A7A7,ndr_p,7
1,5758531.5,Agriculture,#C199E9,ndr_p,7
2,668943.6875,Urban,#E65757,ndr_p,7
-1,779473.25,Grassland,#96D458,ndr_p,8
0,1057723,Forest,#69A7A7,ndr_p,8
1,6508347.5,Agriculture,#C199E9,ndr_p,8
2,467176.125,Urban,#E65757,ndr_p,8
-1,796688.75,Grassland,#96D458,ndr_p,9
0,1027670.1875,Forest,#69A7A7,ndr_p,9
1,6374050.5,Agriculture,#C199E9,ndr_p,9
2,431141.46875,Urban,#E65757,ndr_p,9
-1,1072865.375,Grassland,#96D458,ndr_p,10
0,985408.125,Forest,#69A7A7,ndr_p,10
1,5123456.5,Agriculture,#C199E9,ndr_p,10
2,678629.9375,Urban,#E65757,ndr_p,10
