value,sum,tipo,col,prod,esc
-1,1669.3887939453125,Grassland,#96D458,p_surface_export,1
0,10334.6337890625,Forest,#69A7A7,p_surface_export,1
1,144380.21875,Agriculture,#C199E9,p_surface_export,1
2,15591.9189453125,Urban,#E65757,p_surface_export,1
-1,1324.441650390625,Grassland,#96D458,p_surface_export,3
0,10120.94921875,Forest,#69A7A7,p_surface_export,3
1,158193,Agriculture,#C199E9,p_surface_export,3
2,14430.30859375,Urban,#E65757,p_surface_export,3
-1,1551.8480224609375,Grassland,#96D458,p_surface_export,7
0,10086.349609375,Forest,#69A7A7,p_surface_export,7
1,139907.859375,Agriculture,#C199E9,p_surface_export,7
2,12851.16015625,Urban,#E65757,p_surface_export,7
-1,1551.8853759765625,Grassland,#96D458,p_surface_export,10
0,10638.4814453125,Forest,#69A7A7,p_surface_export,10
1,123013.6953125,Agriculture,#C199E9,p_surface_export,10
2,13975.466796875,Urban,#E65757,p_surface_export,10
