sum,tipo,prod,esc
79060.3828125,Grassland,n_total_export,1
96460.6875,Forest,n_total_export,1
810008.9375,Agriculture,n_total_export,1
34305.44921875,Urban,n_total_export,1
152951.765625,Grassland,n_total_export,2
195204.96875,Forest,n_total_export,2
512149.0625,Agriculture,n_total_export,2
41619.125,Urban,n_total_export,2
68100.8671875,Grassland,n_total_export,3
95090.109375,Forest,n_total_export,3
887108.8125,Agriculture,n_total_export,3
31286.77734375,Urban,n_total_export,3
61776.90625,Grassland,n_total_export,4
106150.8203125,Forest,n_total_export,4
879070.5625,Agriculture,n_total_export,4
17656.69921875,Urban,n_total_export,4
67828.0234375,Grassland,n_total_export,5
95047.59375,Forest,n_total_export,5
902594.375,Agriculture,n_total_export,5
21821.79296875,Urban,n_total_export,5
80195.671875,Grassland,n_total_export,6
95794.390625,Forest,n_total_export,6
812319.875,Agriculture,n_total_export,6
25788.978515625,Urban,n_total_export,6
83582.3515625,Grassland,n_total_export,7
94779.84375,Forest,n_total_export,7
784614.25,Agriculture,n_total_export,7
28260.095703125,Urban,n_total_export,7
65401.0546875,Grassland,n_total_export,8
92646.265625,Forest,n_total_export,8
895712.1875,Agriculture,n_total_export,8
24084.892578125,Urban,n_total_export,8
66977.7421875,Grassland,n_total_export,9
90160.609375,Forest,n_total_export,9
876824.1875,Agriculture,n_total_export,9
22194.791015625,Urban,n_total_export,9
82573.046875,Grassland,n_total_export,10
97870.2265625,Forest,n_total_export,10
690151.5625,Agriculture,n_total_export,10
31330.08984375,Urban,n_total_export,10
1005960.3125,Grassland,ndr_n,1
1094015.5,Forest,ndr_n,1
5703251.5,Agriculture,ndr_n,1
729680.8125,Urban,ndr_n,1
1456482.625,Grassland,ndr_n,2
1898320.25,Forest,ndr_n,2
3962556.5,Agriculture,ndr_n,2
528406.75,Urban,ndr_n,2
893575.75,Grassland,ndr_n,3
978221.3125,Forest,ndr_n,3
6501800.5,Agriculture,ndr_n,3
692590.1875,Urban,ndr_n,3
850332.4375,Grassland,ndr_n,4
1180676.375,Forest,ndr_n,4
6036944,Agriculture,ndr_n,4
439624.75,Urban,ndr_n,4
907755.5625,Grassland,ndr_n,5
978224.9375,Forest,ndr_n,5
6514282,Agriculture,ndr_n,5
513185.3125,Urban,ndr_n,5
1027518.9375,Grassland,ndr_n,6
992960.8125,Forest,ndr_n,6
6039143,Agriculture,ndr_n,6
510536.4375,Urban,ndr_n,6
1085439,Grassland,ndr_n,7
965109.5625,Forest,ndr_n,7
5758278.5,Agriculture,ndr_n,7
654314.25,Urban,ndr_n,7
779227.6875,Grassland,ndr_n,8
1057574.75,Forest,ndr_n,8
6508179,Agriculture,ndr_n,8
457222.15625,Urban,ndr_n,8
796417.6875,Grassland,ndr_n,9
1027526.625,Forest,ndr_n,9
6373876.5,Agriculture,ndr_n,9
422994.71875,Urban,ndr_n,9
1072502.5,Grassland,ndr_n,10
985113.875,Forest,ndr_n,10
5123048,Agriculture,ndr_n,10
665101.875,Urban,ndr_n,10
