layer	level	class	id	metric	value	dependencias	metrica
1	class	-1	NA	area_mn	0.7380804735769796	0.1	Mean of patch area
1	class	0	NA	area_mn	3.5175422380153036	0.1	Mean of patch area
1	class	1	NA	area_mn	29.537378940526484	0.1	Mean of patch area
1	class	2	NA	area_mn	1.8816863692769905	0.1	Mean of patch area
1	class	-1	NA	area_mn	0.803724489795918	0.2	Mean of patch area
1	class	0	NA	area_mn	3.5175422380153036	0.2	Mean of patch area
1	class	1	NA	area_mn	29.537378940526484	0.2	Mean of patch area
1	class	2	NA	area_mn	1.8816863692769905	0.2	Mean of patch area
1	class	-1	NA	area_mn	0.8634863624717583	0.30000000000000004	Mean of patch area
1	class	0	NA	area_mn	3.517542238015304	0.30000000000000004	Mean of patch area
1	class	1	NA	area_mn	29.537378940526484	0.30000000000000004	Mean of patch area
1	class	2	NA	area_mn	1.8816863692769905	0.30000000000000004	Mean of patch area
1	class	-1	NA	area_mn	0.9093718724448079	0.4	Mean of patch area
1	class	0	NA	area_mn	3.5175422380153036	0.4	Mean of patch area
1	class	1	NA	area_mn	29.537378940526484	0.4	Mean of patch area
1	class	2	NA	area_mn	1.8816863692769905	0.4	Mean of patch area
1	class	-1	NA	area_mn	0.9924256458305442	0.5	Mean of patch area
1	class	0	NA	area_mn	3.5175422380153036	0.5	Mean of patch area
1	class	1	NA	area_mn	29.537378940526487	0.5	Mean of patch area
1	class	2	NA	area_mn	1.8816863692769905	0.5	Mean of patch area
1	class	-1	NA	area_mn	1.1051002096602716	0.6	Mean of patch area
1	class	0	NA	area_mn	3.5175422380153036	0.6	Mean of patch area
1	class	1	NA	area_mn	29.537378940526484	0.6	Mean of patch area
1	class	2	NA	area_mn	1.8816863692769905	0.6	Mean of patch area
1	class	-1	NA	area_mn	1.236848496980616	0.7000000000000001	Mean of patch area
1	class	0	NA	area_mn	3.5175422380153036	0.7000000000000001	Mean of patch area
1	class	1	NA	area_mn	29.537378940526484	0.7000000000000001	Mean of patch area
1	class	2	NA	area_mn	1.8816863692769905	0.7000000000000001	Mean of patch area
1	class	-1	NA	area_mn	1.3265921561143186	0.8	Mean of patch area
1	class	0	NA	area_mn	3.5175422380153036	0.8	Mean of patch area
1	class	1	NA	area_mn	29.537378940526487	0.8	Mean of patch area
1	class	2	NA	area_mn	1.8816863692769905	0.8	Mean of patch area
1	class	-1	NA	area_mn	1.651243151752706	0.9	Mean of patch area
1	class	0	NA	area_mn	3.5175422380153036	0.9	Mean of patch area
1	class	1	NA	area_mn	29.537378940526487	0.9	Mean of patch area
1	class	2	NA	area_mn	1.8816863692769905	0.9	Mean of patch area
1	class	-1	NA	area_mn	10.602114394661584	1	Mean of patch area
1	class	0	NA	area_mn	3.5175422380153036	1	Mean of patch area
1	class	1	NA	area_mn	29.537378940526484	1	Mean of patch area
1	class	2	NA	area_mn	1.8816863692769905	1	Mean of patch area
