layer	level	class	id	metric	value	dependencias	metrica
1	class	-1	NA	np	150683	0.1	Number of patches
1	class	0	NA	np	45871	0.1	Number of patches
1	class	1	NA	np	12308	0.1	Number of patches
1	class	2	NA	np	15311	0.1	Number of patches
1	class	-1	NA	np	138376	0.2	Number of patches
1	class	0	NA	np	45871	0.2	Number of patches
1	class	1	NA	np	12308	0.2	Number of patches
1	class	2	NA	np	15311	0.2	Number of patches
1	class	-1	NA	np	128799	0.30000000000000004	Number of patches
1	class	0	NA	np	45871	0.30000000000000004	Number of patches
1	class	1	NA	np	12308	0.30000000000000004	Number of patches
1	class	2	NA	np	15311	0.30000000000000004	Number of patches
1	class	-1	NA	np	122300	0.4	Number of patches
1	class	0	NA	np	45871	0.4	Number of patches
1	class	1	NA	np	12308	0.4	Number of patches
1	class	2	NA	np	15311	0.4	Number of patches
1	class	-1	NA	np	112065	0.5	Number of patches
1	class	0	NA	np	45871	0.5	Number of patches
1	class	1	NA	np	12308	0.5	Number of patches
1	class	2	NA	np	15311	0.5	Number of patches
1	class	-1	NA	np	100639	0.6	Number of patches
1	class	0	NA	np	45871	0.6	Number of patches
1	class	1	NA	np	12308	0.6	Number of patches
1	class	2	NA	np	15311	0.6	Number of patches
1	class	-1	NA	np	89919	0.7000000000000001	Number of patches
1	class	0	NA	np	45871	0.7000000000000001	Number of patches
1	class	1	NA	np	12308	0.7000000000000001	Number of patches
1	class	2	NA	np	15311	0.7000000000000001	Number of patches
1	class	-1	NA	np	83836	0.8	Number of patches
1	class	0	NA	np	45871	0.8	Number of patches
1	class	1	NA	np	12308	0.8	Number of patches
1	class	2	NA	np	15311	0.8	Number of patches
1	class	-1	NA	np	67353	0.9	Number of patches
1	class	0	NA	np	45871	0.9	Number of patches
1	class	1	NA	np	12308	0.9	Number of patches
1	class	2	NA	np	15311	0.9	Number of patches
1	class	-1	NA	np	10490	1	Number of patches
1	class	0	NA	np	45871	1	Number of patches
1	class	1	NA	np	12308	1	Number of patches
1	class	2	NA	np	15311	1	Number of patches
